name,grade,pool,campus
ael-aray,2.3,july/2019,Benguerir
tjmari,2.3,july/2019,Benguerir
akhalid,2.3,august/2019,Benguerir
mokhames,2.3,august/2019,Benguerir
hhoummad,2.3,august/2019,Benguerir
nel-alla,2.3,august/2019,Benguerir
ashite,2.3,august/2019,Benguerir
fsarbout,2.3,august/2019,Benguerir
matraore,2.3,august/2019,Benguerir
arachidi,2.3,august/2019,Khouribga
aberdai,2.3,february/2019,Khouribga
hel-ayac,2.3,august/2019,Khouribga
hnabil,2.3,august/2019,Khouribga
aennacir,2.3,august/2019,Khouribga
obounri,2.3,august/2019,Khouribga
hrajad,2.3,august/2019,Khouribga
abaddi,2.3,august/2019,Khouribga
ahssaini,2.3,august/2019,Khouribga
hlimouni,2.3,august/2019,Khouribga
yabdelgh,2.3,august/2019,Khouribga
raourghi,2.3,august/2019,Khouribga
mafajat,2.29,april/2019,Benguerir
hchandad,2.29,april/2019,Benguerir
babouhil,2.29,april/2019,Benguerir
ommagour,2.29,april/2019,Benguerir
zsidki,2.29,april/2019,Benguerir
framdani,2.29,july/2019,Benguerir
hmellahi,2.29,july/2019,Benguerir
alagrini,2.29,july/2019,Benguerir
ztaouil,2.29,july/2019,Benguerir
yaziz,2.29,july/2019,Benguerir
ael-hach,2.29,july/2019,Benguerir
mrachidi,2.29,july/2019,Benguerir
ael-azra,2.29,july/2019,Benguerir
mlabrayj,2.29,july/2019,Benguerir
mmarzouk,2.29,july/2019,Benguerir
zqadiri,2.29,july/2019,Benguerir
ael-ahla,2.29,july/2019,Benguerir
iidzim,2.29,july/2019,Benguerir
mhalli,2.29,july/2019,Benguerir
nbjaghou,2.29,august/2019,Benguerir
moel-mal,2.29,august/2019,Benguerir
ael-bagh,2.29,august/2019,Benguerir
am-khant,2.29,august/2019,Benguerir
oel-yous,2.29,august/2019,Benguerir
melghoud,2.29,august/2019,Benguerir
eel-orch,2.29,august/2019,Benguerir
sel-fcht,2.29,august/2019,Benguerir
oennaimi,2.29,august/2019,Khouribga
mocherqu,2.29,january/2019,Khouribga
ebenmoum,2.29,august/2019,Khouribga
aanbari,2.29,august/2019,Khouribga
abbelhac,2.29,august/2019,Khouribga
abdel-ke,2.29,august/2019,Khouribga
zakdim,2.29,august/2019,Khouribga
alaafia,2.29,august/2019,Khouribga
ayqotbi,2.29,august/2019,Khouribga
aymaatou,2.2800000000000002,april/2019,Benguerir
zoizmer,2.2800000000000002,april/2019,Benguerir
ayajrhou,2.2800000000000002,april/2019,Benguerir
ytaousi,2.2800000000000002,april/2019,Benguerir
emallah,2.2800000000000002,april/2019,Benguerir
tkhabous,2.2800000000000002,july/2019,Benguerir
hgrissen,2.2800000000000002,july/2019,Benguerir
okimdil,2.2800000000000002,july/2019,Benguerir
ahammani,2.2800000000000002,july/2019,Benguerir
mbifenzi,2.2800000000000002,july/2019,Benguerir
majdahim,2.2800000000000002,july/2019,Benguerir
yhebbat,2.2800000000000002,july/2019,Benguerir
mchergui,2.2800000000000002,july/2019,Benguerir
asenhaji,2.2800000000000002,july/2019,Benguerir
