okimdil,0.94,july/2019,Benguerir
oel-ouar,0.94,july/2019,Benguerir
mchergui,0.94,july/2019,Benguerir
hboudhir,0.94,july/2019,Benguerir
htagrour,0.94,august/2019,Benguerir
aali-mou,0.94,august/2019,Benguerir
hfadyl,0.94,august/2019,Benguerir
hnaji-el,0.94,august/2019,Benguerir
amaach,0.94,august/2019,Benguerir
knabouss,0.94,august/2019,Khouribga
rbougssi,0.93,august/2019,Khouribga
aamzouar,0.62,april/2019,Benguerir
zbenlabi,0.62,august/2019,Khouribga
oabouzid,0.62,august/2019,Khouribga
ssamadi,0.61,april/2019,Benguerir
kennahi,0.61,august/2019,Khouribga
abenouda,0.6,april/2019,Benguerir
sbarka,0.6,april/2019,Benguerir
ommagour,0.6,april/2019,Benguerir
milmi,0.6,april/2019,Benguerir
nwakour,0.6,april/2019,Benguerir
zel-bagh,0.6,april/2019,Benguerir
ashite,0.6,august/2019,Benguerir
mhcini,0.6,august/2019,Khouribga
hel-ayac,0.6,august/2019,Khouribga
hnabil,0.6,august/2019,Khouribga
aennacir,0.6,august/2019,Khouribga
hrajad,0.6,august/2019,Khouribga
cabouelw,0.6,august/2019,Khouribga
ahssaini,0.6,august/2019,Khouribga
obougatt,0.6,august/2019,Khouribga
knhaila,0.6,august/2019,Khouribga
hlimouni,0.6,august/2019,Khouribga
yabdelgh,0.6,august/2019,Khouribga
molabhai,0.59,april/2019,Benguerir
mel-hadj,0.59,april/2019,Benguerir
yahachad,0.59,april/2019,Benguerir
aez-zaou,0.59,april/2019,Benguerir
zsidki,0.59,april/2019,Benguerir
smhah,0.59,july/2019,Benguerir
mobaz,0.59,july/2019,Benguerir
yer-raki,0.59,july/2019,Benguerir
mel-haya,0.59,july/2019,Benguerir
mochegri,0.59,july/2019,Benguerir
ael-aray,0.59,july/2019,Benguerir
mlabrayj,0.59,july/2019,Benguerir
mmarzouk,0.59,july/2019,Benguerir
isghioua,0.59,july/2019,Benguerir
am-khant,0.59,august/2019,Benguerir
ozakkare,0.59,august/2019,Benguerir
fsarbout,0.59,august/2019,Benguerir
matraore,0.59,august/2019,Benguerir
sbensarg,0.59,august/2019,Benguerir
arraji,0.59,august/2019,Khouribga
oennaimi,0.59,august/2019,Khouribga
iariss,0.59,august/2019,Khouribga
isel-jao,0.59,august/2019,Khouribga
abdel-ke,0.59,august/2019,Khouribga
akezanna,0.59,august/2019,Khouribga
ayajrhou,0.58,april/2019,Benguerir
emallah,0.58,april/2019,Benguerir
ynoam,0.58,april/2019,Benguerir
abel-haj,0.58,april/2019,Benguerir
nainhaja,0.58,july/2019,Benguerir
tkhabous,0.58,july/2019,Benguerir
ztaouil,0.58,july/2019,Benguerir
ahammani,0.58,july/2019,Benguerir
majdahim,0.58,july/2019,Benguerir
yhebbat,0.58,july/2019,Benguerir
ynejmi,0.58,august/2019,Benguerir
bsanaoui,0.58,august/2019,Benguerir
ael-kass,0.58,august/2019,Benguerir
yait-kad,0.58,july/2018,Khouribga
asbai-el,0.58,july/2018,Khouribga
zoizmer,0.57,april/2019,Benguerir
yabouhna,0.57,august/2019,Benguerir
mel-hamr,0.57,august/2019,Khouribga
ayqotbi,0.57,august/2019,Khouribga
aquamar,0.56,august/2019,Benguerir
yarroubi,0.53,july/2019,Benguerir
anejjari,0.5,april/2019,Benguerir
ehakam,0.5,july/2019,Benguerir
mafajat,0.49,april/2019,Benguerir
haboussi,0.48,april/2019,Benguerir
yjerroud,0.47,april/2019,Benguerir
laafilal,0.42,april/2019,Benguerir
amaghat,0.42,april/2019,Benguerir
mbennaja,0.42,august/2019,Khouribga
hel-hark,0.42,august/2019,Khouribga
